"state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Ethnic_Description","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation","row_index"
"nj",0,29,0,"Non-Partisan","Other","Arab","Independent",116203,"Unknown",286091,0,4740
"nc",1,58,0,"Republican","European","Irish","Republican",63628,"Unknown",131156,0,22871
"ca",1,72,0,"Non-Partisan","European","English/Welsh","Independent",28000,"Residential",139267,0,211717
"wi",1,56,0,"Non-Partisan","European","Irish","Independent",58640,"Unknown",140896,0,61343
"tx",0,42,0,"Republican","European","English/Welsh","Republican",55127,"Residential",87500,0,77485
"tx",0,24,0,"Democratic","European","English/Welsh","Democratic",83397,"Apartment",162754,0,188770
"ms",1,93,0,"Republican","European","English/Welsh","Republican",18000,"Residential",290532,0,304951
"ks",1,52,1,"Non-Partisan","European","English/Welsh","Independent",88231,"Apartment",237500,0,184874
"oh",0,28,1,"Non-Partisan","European","Irish","Republican & Independent",54317,"Residential",77997,0,316820
"ga",1,71,1,"Republican","East and South Asian","Korean","Republican",145000,"Residential",296804,0,278549
"wa",1,70,0,"Democratic","European","English/Welsh","Democratic",NA,"Unknown",187500,1,411839
"ga",1,65,1,"Republican","European","English/Welsh","Republican",250000,"Residential",438302,1,283351
"la",0,34,0,"Republican","European","English/Welsh","Republican",71000,"Residential",222819,0,355879
"tx",0,24,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",8000,"Apartment",93181,0,189103
"ca",1,63,0,"Democratic","European","English/Welsh","Democratic",191000,"Residential",915595,0,395183
"ct",0,47,0,"Republican","European","French","Republican",27000,"Apartment",146676,1,116768
"mn",0,39,0,"Non-Partisan","Other","Arab","Independent",56966,"Apartment",168951,0,176611
"oh",1,58,1,"Republican","European","German","Republican",78000,"Residential",142040,0,314448
"ca",1,34,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",56409,"Apartment",385713,0,203069
"tx",1,57,1,"Republican","European","Scots","Republican",145000,"Residential",310714,0,374456
"wa",1,26,1,"Republican","Other","Arab","Republican",12000,"Apartment",590157,0,220364
"az",1,65,0,"Republican","","","Republican",39000,"Residential",246848,0,383550
"al",0,40,0,"Republican","European","Irish","Republican",88000,"Residential",546966,0,41440
"fl",1,56,1,"Non-Partisan","European","English/Welsh","Independent",74000,"Residential",163093,0,297205
"oh",0,33,1,"Non-Partisan","European","English/Welsh","Independent",11000,"Apartment",135196,0,164158
"ga",0,24,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",6000,"Apartment",95713,0,149982
"ct",1,56,0,"Non-Partisan","European","English/Welsh","Independent",92812,"Residential",264057,0,231266
"mi",0,42,0,"Republican","East and South Asian","Vietnamese","Republican",62499,"Residential",162500,0,326042
"sc",0,30,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",98000,"Residential",238903,0,276158
"va",1,42,1,"Republican","European","German","Republican",154000,"Residential",191765,1,20438
"wi",0,NA,0,"Non-Partisan","","","Independent",57499,"Apartment",143859,0,175202
"sd",0,36,1,"Democratic","European","English/Welsh","Democratic & Independent",NA,"Unknown",NA,0,63910
"ga",1,63,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",NA,"Unknown",NA,0,29334
"ca",1,46,1,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",61405,"Residential",332557,0,95675
"ma",0,21,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",16000,"Duplex",206436,0,111433
"vt",1,63,1,"Republican","European","English/Welsh","Republican",250000,"Residential",937922,0,230105
"wi",1,44,0,"Republican","","","Republican",116000,"Residential",243471,0,332334
"ca",1,49,0,"Reform","European","Scots","Independent",57272,"Apartment",285273,0,216698
"la",1,47,1,"Republican","European","English/Welsh","Republican & Independent",68422,"Unknown",119999,0,74954
"nc",1,72,1,"Republican","European","English/Welsh","Republican",39000,"Residential",152643,0,274178
"ny",0,68,1,"Republican","European","Irish","Republican",9000,"Apartment",593749,1,125700
"az",1,84,0,"Democratic","","","Democratic & Republican",65000,"Residential",373931,1,383307
"ma",1,59,1,"Democratic","European","English/Welsh","Democratic",83000,"Residential",246666,0,224291
"ca",1,85,1,"Republican","European","Irish","Republican",134225,"Residential",425000,1,388128
"tx",0,63,0,"Republican","European","Irish","Republican",57000,"Residential",37500,0,86127
"fl",1,53,0,"Non-Partisan","Likely African-American","African or Af-Am Self Reported","Republican & Independent",NA,"Apartment",NA,0,151376
"ga",1,32,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",55434,"Unknown",109871,0,28676
"tx",0,27,0,"Non-Partisan","European","English/Welsh","Independent",17000,"Apartment",NA,0,188661
"md",0,66,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",NA,"Residential",NA,0,17597
"mi",1,66,1,"Republican","European","English/Welsh","Republican",171000,"Residential",579664,0,325516
"pa",0,33,0,"Registered Independent","European","English/Welsh","Independent",74210,"Apartment",161797,0,135211
"fl",0,18,0,"Republican","European","English/Welsh","Republican",63749,"Residential",91666,0,32025
"ca",1,49,1,"Non-Partisan","European","German","Independent",112124,"Residential",446399,0,97066
"wi",1,49,0,"Republican","European","Norwegian","Republican",53000,"Residential",144651,1,335364
"va",0,26,0,"Non-Partisan","European","Norwegian","Independent",NA,"Apartment",NA,0,140899
"md",1,66,1,"Democratic","European","English/Welsh","Democratic",57000,"Residential",293344,0,261426
"ct",1,32,0,"Non-Partisan","European","Irish","Democratic & Independent",153000,"Residential",313336,1,231827
"ny",1,18,1,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Independent",122000,"Residential",754205,0,7947
"fl",1,55,0,"Non-Partisan","European","English/Welsh","Republican & Independent",132044,"Unknown",314285,0,36871
"ky",0,50,0,"Democratic","European","English/Welsh","Democratic",NA,"Apartment",87500,0,163591
"ca",1,21,0,"Non-Partisan","East and South Asian","Vietnamese","Republican & Independent",250000,"Apartment",854024,0,210770
"va",1,32,1,"Republican","European","German","Republican",124000,"Residential",712073,0,257832
"tn",1,41,0,"Republican","European","Irish","Republican",71010,"Residential",237500,0,302708
"tx",1,69,0,"Republican","Hispanic and Portuguese","Portuguese","Republican",71000,"Residential",150895,0,369205
"ga",1,60,1,"Democratic","East and South Asian","Laotian","Democratic",81844,"Unknown",289473,0,28331
"oh",0,25,0,"Non-Partisan","European","Dutch (Netherlands)","Independent",41000,"Residential",87221,0,50119
"az",1,28,0,"Republican","","","Republican",135000,"Residential",274881,0,382283
"co",0,27,1,"Non-Partisan","Other","Pakistani","Democratic & Independent",95000,"Triplex",183332,0,195937
"wa",1,73,0,"Democratic","European","Irish","Democratic",190000,"Residential",1187612,1,410007
"ca",1,34,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",87499,"Unknown",291554,0,98830
"ca",0,53,0,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",234000,"Residential",828425,1,400404
"tn",1,19,0,"Republican","European","English/Welsh","Democratic & Republican",149000,"Residential",1046520,0,301001
"fl",0,51,1,"Non-Partisan","European","Irish","Republican & Independent",76423,"Apartment",262500,0,151583
"al",1,24,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",28000,"Residential",74749,0,39825
"nc",1,28,1,"Republican","European","English/Welsh","Republican",183000,"Residential",342800,0,270762
"nc",1,75,1,"Non-Partisan","European","Italian","Independent",25000,"Residential",326966,0,22432
"tx",1,41,0,"Republican","","","Republican",143000,"Residential",368638,0,362066
"tx",0,27,0,"Non-Partisan","European","French","Independent",47000,"Residential",262500,0,373020
"ia",1,35,0,"Republican","","","Republican & Independent",83000,"Residential",186630,0,331224
"ga",0,21,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",43582,"Apartment",127852,0,149064
"in",0,23,1,"Non-Partisan","European","English/Welsh","Republican & Independent",250000,"Residential",734362,0,52144
"ny",1,25,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",NA,"Unknown",NA,0,9385
"wi",1,44,1,"Republican","European","Polish","Republican",73000,"Duplex",105319,0,334263
"nj",1,18,1,"Non-Partisan","","","Independent",79513,"Unknown",272058,0,4831
"tx",1,36,1,"Republican","","","Republican",72624,"Residential",162500,0,79049
"tn",1,60,1,"Non-Partisan","European","English/Welsh","Independent",113850,"Apartment",358802,0,160756
"ga",1,29,0,"Non-Partisan","European","English/Welsh","Independent",48000,"Residential",153121,0,283840
"oh",1,82,1,"Republican","European","English/Welsh","Republican",10000,"Residential",152429,0,317258
"ky",0,21,1,"Other","European","English/Welsh","Independent",62829,"Apartment",91666,0,163779
"nm",1,58,0,"Republican","European","English/Welsh","Republican",161781,"Residential",625000,0,93474
"nv",0,20,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",NA,"Apartment",NA,0,201653
"in",1,41,1,"Republican","European","German","Republican",210000,"Residential",493604,0,318500
"az",1,67,1,"Democratic","European","English/Welsh","Democratic & Republican",106000,"Residential",410635,0,384989
"md",1,54,1,"Democratic","","","Democratic",189784,"Residential",657270,0,138661
"nh",1,70,0,"Democratic","European","French","Democratic",38000,"Apartment",237500,0,114726
"nc",1,51,1,"Republican","European","English/Welsh","Republican & Independent",66000,"Residential",20340,0,274006
"oh",1,51,0,"Democratic","European","English/Welsh","Democratic",131000,"Residential",150346,0,312044
"ny",0,91,0,"Non-Partisan","East and South Asian","Chinese","Independent",92000,"Residential",589636,0,239409
"wa",1,26,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",86000,"Mobil Home",152445,0,110168
"or",0,38,0,"Republican","European","Scots","Republican & Independent",69000,"Residential",431014,0,407799
"ny",1,45,1,"Democratic","","","Democratic",162194,"Residential",512227,1,242763
"ca",1,66,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",43749,"Apartment",197916,0,216235
"oh",1,84,0,"Democratic","European","Italian","Democratic",71000,"Residential",328515,0,316108
"oh",1,18,1,"Non-Partisan","European","English/Welsh","Republican & Independent",64000,"Residential",88971,0,314932
"ga",1,50,1,"Republican","European","English/Welsh","Republican & Independent",93000,"Residential",281423,0,283104
"ia",0,49,0,"Non-Partisan","European","English/Welsh","Independent",137000,"Residential",225524,1,329583
"tx",1,30,1,"Democratic","European","English/Welsh","Democratic",10000,"Apartment",94559,0,191771
"oh",0,82,1,"Non-Partisan","European","German","Independent",97000,"Residential",267427,1,311524
"ny",0,21,0,"Conservative","European","English/Welsh","Democratic & Republican & Independent",212000,"Duplex",560556,0,241842
"wi",1,NA,0,"Republican","European","Polish","Republican",244000,"Residential",480762,0,332843
"mi",1,48,1,"Republican","European","English/Welsh","Democratic & Republican",250000,"Residential",368427,0,328041
"nv",1,65,0,"Republican","European","Italian","Republican",121000,"Residential",415941,0,386298
"ga",1,68,1,"Republican","European","English/Welsh","Republican",69000,"Residential",452450,0,28609
"tx",1,61,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",38000,"Residential",192731,0,84393
"id",1,52,1,"Non-Partisan","East and South Asian","Japanese","Independent",65000,"Residential",152114,0,89465
"ca",1,36,0,"Democratic","European","German","Democratic",123000,"Residential",565671,0,402300
"in",1,26,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",41000,"Residential",137500,0,53681
"vt",1,24,0,"Non-Partisan","European","Scots","Republican & Independent",86948,"Unknown",234134,0,3430
"ny",1,53,0,"Democratic","","","Democratic & Republican",97816,"Unknown",498818,0,9014
"mi",1,54,0,"Republican","","","Republican",72528,"Residential",204296,0,56510
"va",0,23,0,"Republican","European","English/Welsh","Republican",213000,"Residential",411178,0,264598
"ok",1,55,0,"Democratic","European","English/Welsh","Democratic & Republican",114000,"Residential",146982,0,360422
"ri",0,66,0,"Republican","European","Italian","Democratic & Republican",128000,"Residential",296116,1,228195
"in",1,20,1,"Democratic","European","Italian","Democratic",74000,"Residential",163634,0,320134
"fl",1,65,1,"Republican","East and South Asian","Vietnamese","Republican",132000,"Residential",274942,0,291539
"tx",0,39,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",60000,"Residential",166323,0,368782
"oh",1,50,0,"Republican","European","Irish","Republican",112874,"Condominium",87500,0,315629
"or",1,44,1,"Democratic","European","English/Welsh","Democratic",64000,"Triplex",347252,1,218454
"wv",1,59,1,"Republican","European","English/Welsh","Republican",88000,"Residential",181960,1,267880
"al",1,24,1,"Democratic","European","English/Welsh","Democratic",94138,"Unknown",268106,0,39298
"tx",1,18,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",66000,"Apartment",177920,0,194289
"ny",0,81,0,"Democratic","","","Democratic",97367,"Unknown",375000,0,241771
"ia",1,33,0,"Non-Partisan","European","English/Welsh","Independent",71590,"Unknown",98332,0,58535
"tn",0,28,1,"Republican","European","English/Welsh","Republican & Independent",110000,"Residential",350223,0,303670
"wa",1,36,0,"Non-Partisan","European","Irish","Independent",170000,"Residential",602871,0,410316
"ny",0,73,0,"Non-Partisan","East and South Asian","Chinese","Democratic & Independent",48000,"Apartment",924999,0,121123
"ny",1,72,1,"Non-Partisan","","","Independent",84000,"Apartment",477585,0,125930
"tx",1,59,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",75104,"Residential",87500,0,361141
"nv",1,38,0,"Democratic","European","Irish","Democratic",60000,"Residential",263230,0,387530
"al",0,20,0,"Republican","European","English/Welsh","Republican",41000,"Residential",128732,0,39474
"al",1,55,1,"Republican","European","English/Welsh","Republican",66000,"Residential",197334,0,299465
"pa",1,22,0,"Democratic","European","English/Welsh","Democratic",197000,"Residential",678028,0,254468
"sc",0,64,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",52592,"Unknown",141446,0,27618
"tx",0,61,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",49000,"Residential",153772,0,366832
"wv",1,61,0,"Registered Independent","European","German","Republican & Independent",190000,"Apartment",560868,1,142634
"mi",0,36,0,"Non-Partisan","European","English/Welsh","Independent",71249,"Apartment",146249,0,170927
